Age,Likely Ethnicity,Precinct,Borrud - SD24: Responses,Total People
29 to 49,White,Rochester W2 P3,Undecided,1
30 to 49,White,Rochester W2 P4,Undecided,1
31 to 49,White,Rochester W2 P5,Undecided,1
32 to 49,White,Rochester W2 P6,Undecided,1
33 to 49,White,Rochester W2 P7,Undecided,1
34 to 49,White,Rochester W2 P8,Undecided,1
35 to 49,White,Rochester W2 P9,Undecided,1
35 to 49,White,Rochester W2 P9,Lean Nelson,1
34 to 49,White,Rochester W4 P9,Undecided,1
35 to 49,White,Rochester W4 P10,Undecided,1
35 to 49,White,Rochester W4 P10,Strong Nelson,1
35 to 49,White,Rochester W4 P11,Strong Nelson,1
34 to 49,White,Rochester W4 P12,Lean Aleta,1
35 to 49,White,Rochester W4 P13,Lean Aleta,1
35 to 49,White,Rochester W4 P8,Strong Aleta,1
35 to 49,White,Rochester W4 P8,Lean Aleta,1
35 to 49,White,Rochester W4 P8,Undecided,1
35 to 49,White,Rochester W4 P8,Lean Nelson,1
30 to 49,White,Stewartville,Strong Aleta,1
31 to 49,White,Stewartville,Strong Aleta,1
32 to 49,White,Stewartville,Strong Aleta,1
33 to 49,White,Stewartville,Strong Aleta,1
34 to 49,White,Stewartville,Strong Aleta,1
35 to 49,White,Stewartville,Strong Aleta,1
27 to 49,White,Stewartville,Lean Aleta,1
28 to 49,White,Stewartville,Lean Aleta,1
29 to 49,White,Stewartville,Lean Aleta,1
30 to 49,White,Stewartville,Lean Aleta,1
31 to 49,White,Stewartville,Lean Aleta,1
32 to 49,White,Stewartville,Lean Aleta,1
33 to 49,White,Stewartville,Lean Aleta,1
34 to 49,White,Stewartville,Lean Aleta,1
35 to 49,White,Stewartville,Lean Aleta,1
34 to 49,White,Stewartville,Strong Nelson,1
35 to 49,White,Stewartville,Strong Nelson,1
33 to 49,White,Byron,Strong Aleta,1
34 to 49,White,Byron,Strong Aleta,1
35 to 49,White,Byron,Strong Aleta,1
35 to 49,White,Byron,Lean Aleta,1
28 to 49,White,Byron,Undecided,1
29 to 49,White,Byron,Undecided,1
30 to 49,White,Byron,Undecided,1
31 to 49,White,Byron,Undecided,1
32 to 49,White,Byron,Undecided,1
33 to 49,White,Byron,Undecided,1
34 to 49,White,Byron,Undecided,1
35 to 49,White,Byron,Undecided,1
35 to 49,White,Hayfield,Strong Aleta,1
34 to 49,White,Hayfield,Lean Aleta,1
35 to 49,White,Hayfield,Lean Aleta,1
35 to 49,White,Hayfield,Undecided,1
32 to 49,White,Kasson P-1,Strong Aleta,1
33 to 49,White,Kasson P-0,Strong Aleta,1
34 to 49,White,Kasson P-1,Strong Aleta,1
35 to 49,White,Kasson P-2,Strong Aleta,1
34 to 49,White,Rochester W1 P0,Strong Aleta,1
35 to 49,White,Rochester W1 P1,Strong Aleta,1
32 to 49,White,Rochester W1 P2,Lean Aleta,1
33 to 49,White,Rochester W1 P1,Lean Aleta,1
34 to 49,White,Rochester W1 P0,Lean Aleta,1
35 to 49,White,Rochester W1 P1,Lean Aleta,1
35 to 49,White,Rochester W1 P1,Undecided,1
35 to 49,White,Rochester W1 P10,Lean Aleta,1
35 to 49,White,Rochester W1 P10,Undecided,1
35 to 49,White,Rochester W1 P4,Strong Aleta,1
35 to 49,White,Rochester W1 P4,Undecided,1
35 to 49,White,Rochester W1 P8,Lean Aleta,1
33 to 49,White,Rochester W1 P6,Undecided,1
34 to 49,White,Rochester W1 P7,Undecided,1
35 to 49,White,Rochester W1 P8,Undecided,1
34 to 49,White,Rochester W2 P0,Undecided,1
35 to 49,White,Rochester W2 P1,Undecided,1
35 to 49,White,Rochester W2 P10,Lean Aleta,1
34 to 49,White,Rochester W2 P9,Undecided,1
35 to 49,White,Rochester W2 P10,Undecided,1
35 to 49,White,Rochester W2 P11,Strong Aleta,1
35 to 49,White,Rochester W2 P11,Lean Nelson,1
35 to 49,White,Rochester W2 P4,Lean Nelson,1
35 to 49,White,Rochester W2 P6,Undecided,1
35 to 49,White,Rochester W4 P11,Lean Aleta,1
35 to 49,White,Rochester W4 P8,Lean Aleta,1
35 to 49,White,Stewartville,Lean Aleta,1
35 to 49,White,Stewartville,Undecided,1
35 to 49,White,Hayfield,Lean Aleta,1
35 to 49,White,Kasson P-2,Lean Nelson,1
34 to 49,White,Rochester W1 P0,Lean Aleta,1
35 to 49,White,Rochester W1 P1,Lean Aleta,1
35 to 49,White,Rochester W1 P11,Lean Aleta,1
35 to 49,White,Rochester W1 P11,Undecided,1
35 to 49,White,Rochester W2 P4,Strong Aleta,1
35 to 49,White,Rochester W2 P9,Undecided,1
35 to 49,White,Rochester W4 P10,Undecided,1
35 to 49,White,Rochester W4 P11,Undecided,1
35 to 49,White,Rochester W4 P8,Lean Aleta,1
35 to 49,White,Rock Dell Twp.,Undecided,1
35 to 49,Unknown,Rochester W1 P8,Strong Nelson,1
35 to 49,Unknown,Rochester W2 P3,Lean Nelson,1
50 to 64,Asian,Rochester W1 P1,Strong Aleta,1
50 to 64,Asian,Rochester W1 P10,Strong Nelson,1
